clause_id,contract_id,clause_type,clause_text_summary,standard_compliant,deviation_type,risk_score,review_status,reviewer_name,review_date,recommendation
CL-0094,CON-0021,Payment Terms,Net 60 terms with early payment discount of 2%,true,Minor,3,Reviewed,Steven Marsh,2024-07-17,Acceptable with noted deviation
CL-0095,CON-0021,Change Control,All changes require written approval from both parties,true,None,2,Pending,Steven Marsh,,Approved as-is
CL-0096,CON-0021,Audit Rights,Unlimited audit access during contract term,true,Minor,3,Pending,Steven Marsh,,Recommend minor language update at next renewal
CL-0097,CON-0022,Governing Law,Governed by laws of vendor jurisdiction — non-standard,false,Minor,4,Reviewed,Patricia Nguyen,2024-06-10,Acceptable with noted deviation
CL-0098,CON-0022,Insurance Requirements,Cyber liability insurance required and confirmed,true,None,2,Reviewed,Linda Kowalski,2024-07-01,Clause meets standard requirements
CL-0099,CON-0022,Auto-Renewal,Evergreen clause with no defined termination path,false,Major,7,Flagged,Steven Marsh,,Escalate to legal for amendment
CL-0100,CON-0022,Termination,No termination for convenience clause included,false,Major,8,Flagged,Linda Kowalski,,High priority — initiate vendor discussion
CL-0101,CON-0022,Audit Rights,Annual audit rights with 30-day advance notice,true,None,3,Pending,Robert Ashford,,Approved as-is
CL-0102,CON-0022,Indemnification,Mutual indemnification for third-party IP claims,true,None,1,Reviewed,Angela Perez,2025-01-02,No action needed
CL-0103,CON-0023,Governing Law,Governed by laws of England and Wales,true,None,3,Reviewed,Patricia Nguyen,2024-12-09,Approved as-is
CL-0104,CON-0023,Insurance Requirements,Cyber liability insurance required and confirmed,true,None,3,Reviewed,Angela Perez,2024-12-13,No action needed
CL-0105,CON-0023,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,1,Reviewed,Angela Perez,2024-01-17,Approved as-is
CL-0106,CON-0023,Change Control,Change requests processed within 10 business days,true,None,2,Pending,Robert Ashford,,Approved as-is
CL-0107,CON-0024,Data Privacy,Missing data breach notification timeline,false,Major,8,Flagged,Angela Perez,,Requires renegotiation before next renewal
CL-0108,CON-0024,Confidentiality,Confidentiality obligations survive 5 years,true,None,3,Reviewed,Steven Marsh,2024-09-08,Clause meets standard requirements
CL-0109,CON-0024,Auto-Renewal,Auto-renews annually with 60-day opt-out notice,true,None,2,Pending,Linda Kowalski,,Approved as-is
CL-0110,CON-0024,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,3,Reviewed,Steven Marsh,2024-12-29,Approved as-is
CL-0111,CON-0024,Payment Terms,Net 45 payment terms aligned with standard policy,true,None,3,Reviewed,Robert Ashford,2025-02-08,No action needed
CL-0112,CON-0025,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,3,Reviewed,Steven Marsh,2025-01-03,No action needed
CL-0113,CON-0025,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,3,Flagged,Patricia Nguyen,,Acceptable with noted deviation
CL-0114,CON-0025,SLA/Performance,Quarterly performance reviews with scorecards,true,None,2,Reviewed,Angela Perez,2024-01-29,Clause meets standard requirements
CL-0115,CON-0026,IP Ownership,Vendor retains all IP including custom deliverables,false,Critical,8,Flagged,Robert Ashford,,Contract amendment needed within 30 days
CL-0116,CON-0026,Termination,No termination for convenience clause included,false,Major,7,Pending,Patricia Nguyen,,High priority — initiate vendor discussion
CL-0117,CON-0026,Change Control,All changes require written approval from both parties,true,None,1,Reviewed,Patricia Nguyen,2024-02-11,Clause meets standard requirements
CL-0118,CON-0026,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,3,Flagged,Patricia Nguyen,,Acceptable with noted deviation
CL-0119,CON-0027,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,1,Reviewed,Thomas Grant,2024-09-04,No action needed
CL-0120,CON-0027,IP Ownership,IP transfers upon final milestone completion,true,None,1,Reviewed,Thomas Grant,2024-03-07,No action needed
CL-0121,CON-0027,Insurance Requirements,Vendor maintains $5M general liability coverage,true,None,2,Reviewed,Thomas Grant,2024-05-06,Clause meets standard requirements
CL-0122,CON-0027,Payment Terms,Net 45 payment terms aligned with standard policy,true,None,2,Reviewed,Linda Kowalski,2024-10-22,Approved as-is
CL-0123,CON-0027,Audit Rights,Annual audit rights with 30-day advance notice,true,None,2,Reviewed,Thomas Grant,2024-01-12,Clause meets standard requirements
CL-0124,CON-0028,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,5,Flagged,Patricia Nguyen,,Recommend minor language update at next renewal
CL-0125,CON-0028,Insurance Requirements,Professional liability insurance at $2M minimum,true,None,3,Reviewed,Thomas Grant,2024-01-27,Approved as-is
CL-0126,CON-0028,Payment Terms,Net 45 payment terms aligned with standard policy,true,None,3,Pending,Thomas Grant,,Approved as-is
CL-0127,CON-0028,Dispute Resolution,Binding arbitration under AAA rules,true,None,1,Reviewed,Angela Perez,2024-07-06,Clause meets standard requirements
CL-0128,CON-0028,SLA/Performance,Quarterly performance reviews with scorecards,true,None,2,Reviewed,Robert Ashford,2024-12-31,No action needed
CL-0129,CON-0028,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,5,Flagged,Linda Kowalski,,Recommend minor language update at next renewal
CL-0130,CON-0029,SLA/Performance,No defined SLA metrics or penalties,false,Major,7,Flagged,Linda Kowalski,,Escalate to legal for amendment
CL-0131,CON-0029,Governing Law,Governed by laws of England and Wales,true,None,3,Reviewed,Linda Kowalski,2024-12-01,Approved as-is
CL-0132,CON-0029,IP Ownership,IP transfers upon final milestone completion,true,None,1,Pending,Steven Marsh,,Approved as-is
CL-0133,CON-0029,Audit Rights,Unlimited audit access during contract term,true,Minor,5,Flagged,Steven Marsh,,Recommend minor language update at next renewal
CL-0134,CON-0029,Confidentiality,Confidentiality obligations survive 5 years,true,None,2,Pending,Robert Ashford,,No action needed
CL-0135,CON-0029,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,5,Reviewed,Angela Perez,2024-04-16,Flag for review at renewal
CL-0136,CON-0030,Auto-Renewal,Evergreen clause with no defined termination path,false,Major,7,Pending,Steven Marsh,,High priority — initiate vendor discussion
CL-0137,CON-0030,Insurance Requirements,Insurance coverage below required $1M threshold,false,Major,6,Flagged,Angela Perez,,Escalate to legal for amendment
CL-0138,CON-0030,Force Majeure,Extended force majeure includes supply chain disruption,true,Minor,5,Flagged,Thomas Grant,,Acceptable with noted deviation
CL-0139,CON-0030,Data Privacy,Data processing limited to specified purposes only,true,None,3,Pending,Steven Marsh,,Approved as-is
CL-0140,CON-0030,Confidentiality,Confidentiality obligations survive 5 years,true,None,2,Reviewed,Steven Marsh,2024-02-10,No action needed
CL-0141,CON-0031,Auto-Renewal,Evergreen clause with no defined termination path,false,Major,7,Flagged,Angela Perez,,High priority — initiate vendor discussion
CL-0142,CON-0031,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,1,Reviewed,Patricia Nguyen,2024-02-21,No action needed
CL-0143,CON-0031,Governing Law,Governed by laws of England and Wales,true,None,1,Pending,Robert Ashford,,No action needed
CL-0144,CON-0031,Insurance Requirements,Professional liability insurance at $2M minimum,true,None,2,Reviewed,Linda Kowalski,2024-11-26,Clause meets standard requirements
CL-0145,CON-0031,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,5,Flagged,Steven Marsh,,Recommend minor language update at next renewal
CL-0146,CON-0031,Audit Rights,No audit rights granted to Contoso,false,Critical,9,Flagged,Robert Ashford,,Contract amendment needed within 30 days
CL-0147,CON-0032,Audit Rights,Unlimited audit access during contract term,true,Minor,4,Flagged,Thomas Grant,,Acceptable with noted deviation
CL-0148,CON-0032,Liability Cap,Liability capped at 2x annual contract value,true,None,2,Reviewed,Steven Marsh,2024-04-05,Clause meets standard requirements
CL-0149,CON-0032,Change Control,Vendor may implement changes with 5-day notice,false,Minor,5,Flagged,Steven Marsh,,Acceptable with noted deviation
CL-0150,CON-0032,IP Ownership,Vendor retains all IP including custom deliverables,false,Critical,8,Flagged,Thomas Grant,,Escalate to VP Legal immediately
CL-0151,CON-0032,SLA/Performance,SLA targets below industry standard — 95% uptime,false,Minor,4,Pending,Linda Kowalski,,Acceptable with noted deviation
CL-0152,CON-0033,IP Ownership,All deliverables IP assigned to Contoso upon payment,true,None,3,Reviewed,Thomas Grant,2024-12-17,Approved as-is
CL-0153,CON-0033,Auto-Renewal,Evergreen clause with no defined termination path,false,Major,7,Pending,Robert Ashford,,Requires renegotiation before next renewal
CL-0154,CON-0033,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,4,Flagged,Angela Perez,,Acceptable with noted deviation
CL-0155,CON-0034,Dispute Resolution,Litigation only — no alternative resolution,false,Minor,4,Flagged,Patricia Nguyen,,Recommend minor language update at next renewal
CL-0156,CON-0034,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,5,Pending,Angela Perez,,Acceptable with noted deviation
CL-0157,CON-0034,Auto-Renewal,Auto-renews annually with 60-day opt-out notice,true,None,3,Pending,Thomas Grant,,Clause meets standard requirements
CL-0158,CON-0034,SLA/Performance,Quarterly performance reviews with scorecards,true,None,2,Reviewed,Steven Marsh,2025-02-17,No action needed
CL-0159,CON-0035,Data Privacy,Missing data breach notification timeline,false,Major,7,Flagged,Angela Perez,,Requires renegotiation before next renewal
CL-0160,CON-0035,IP Ownership,Vendor retains all IP including custom deliverables,false,Critical,9,Flagged,Robert Ashford,,Contract amendment needed within 30 days
CL-0161,CON-0035,Liability Cap,No liability cap defined,false,Critical,9,Flagged,Thomas Grant,,Immediate renegotiation required
CL-0162,CON-0036,Auto-Renewal,Auto-renewal with 90-day notice to cancel,true,None,3,Reviewed,Linda Kowalski,2024-08-25,Approved as-is
CL-0163,CON-0036,Change Control,Vendor may implement changes with 5-day notice,false,Minor,4,Pending,Linda Kowalski,,Recommend minor language update at next renewal
CL-0164,CON-0036,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,1,Reviewed,Robert Ashford,2024-04-15,Clause meets standard requirements
CL-0165,CON-0036,Indemnification,Mutual indemnification for third-party IP claims,true,None,2,Pending,Patricia Nguyen,,No action needed
CL-0166,CON-0037,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,5,Flagged,Steven Marsh,,Acceptable with noted deviation
CL-0167,CON-0037,Force Majeure,Standard force majeure covering natural disasters and pandemics,true,None,3,Reviewed,Linda Kowalski,2024-02-01,Approved as-is
CL-0168,CON-0037,Audit Rights,No audit rights granted to Contoso,false,Critical,10,Flagged,Patricia Nguyen,,Escalate to VP Legal immediately
CL-0169,CON-0037,Liability Cap,No liability cap defined,false,Critical,10,Flagged,Thomas Grant,,Immediate renegotiation required
CL-0170,CON-0037,Termination,Either party may terminate with 90-day notice,true,None,3,Reviewed,Steven Marsh,2024-03-14,No action needed
CL-0171,CON-0037,Change Control,Vendor may implement changes with 5-day notice,false,Minor,5,Reviewed,Linda Kowalski,2024-04-14,Acceptable with noted deviation
CL-0172,CON-0038,Audit Rights,Annual audit rights with 30-day advance notice,true,None,1,Pending,Angela Perez,,Clause meets standard requirements
CL-0173,CON-0038,Insurance Requirements,Insurance coverage below required $1M threshold,false,Major,6,Flagged,Linda Kowalski,,Escalate to legal for amendment
CL-0174,CON-0038,Confidentiality,No confidentiality clause present — gap identified,false,Critical,10,Flagged,Robert Ashford,,Contract amendment needed within 30 days
CL-0175,CON-0039,Data Privacy,No data privacy provisions — high risk,false,Critical,9,Flagged,Linda Kowalski,,Contract amendment needed within 30 days
CL-0176,CON-0039,Payment Terms,Payment upon delivery with no grace period,false,Major,8,Flagged,Linda Kowalski,,Escalate to legal for amendment
CL-0177,CON-0039,Force Majeure,Standard force majeure covering natural disasters and pandemics,true,None,3,Pending,Angela Perez,,Approved as-is
CL-0178,CON-0039,Confidentiality,Confidentiality limited to 1 year post-term,false,Minor,3,Pending,Angela Perez,,Recommend minor language update at next renewal
CL-0179,CON-0040,Force Majeure,Force majeure limited to acts of war only,false,Minor,3,Reviewed,Steven Marsh,2024-10-06,Acceptable with noted deviation
CL-0180,CON-0040,Auto-Renewal,Auto-renews annually with 60-day opt-out notice,true,None,3,Reviewed,Patricia Nguyen,2024-07-30,Clause meets standard requirements
CL-0181,CON-0040,Change Control,No formal change control process defined,false,Major,6,Flagged,Angela Perez,,Escalate to legal for amendment
CL-0182,CON-0040,Confidentiality,Confidentiality obligations survive 5 years,true,None,3,Pending,Angela Perez,,No action needed
CL-0183,CON-0040,IP Ownership,IP transfers upon final milestone completion,true,None,3,Pending,Steven Marsh,,Approved as-is
CL-0184,CON-0040,Insurance Requirements,Vendor maintains $5M general liability coverage,true,None,1,Reviewed,Angela Perez,2024-09-26,No action needed
CL-0185,CON-0041,IP Ownership,Vendor retains all IP including custom deliverables,false,Critical,9,Pending,Patricia Nguyen,,Contract amendment needed within 30 days
CL-0186,CON-0041,Dispute Resolution,Litigation only — no alternative resolution,false,Minor,4,Flagged,Thomas Grant,,Recommend minor language update at next renewal
CL-0187,CON-0041,Data Privacy,Data processing limited to specified purposes only,true,None,1,Pending,Linda Kowalski,,Approved as-is
CL-0188,CON-0041,Indemnification,One-sided indemnification favoring vendor,false,Major,6,Pending,Angela Perez,,Escalate to legal for amendment
CL-0189,CON-0041,Confidentiality,Mutual NDA with 3-year post-termination period,true,None,3,Reviewed,Patricia Nguyen,2024-04-16,Approved as-is
CL-0190,CON-0042,Dispute Resolution,Dispute resolution in vendor home jurisdiction,false,Minor,5,Pending,Steven Marsh,,Flag for review at renewal
CL-0191,CON-0042,Change Control,All changes require written approval from both parties,true,None,3,Pending,Linda Kowalski,,Clause meets standard requirements
CL-0192,CON-0042,Governing Law,Governed by laws of the State of New York,true,None,1,Reviewed,Steven Marsh,2024-05-19,No action needed
CL-0193,CON-0042,Data Privacy,Standard data protection clauses included,true,None,3,Pending,Angela Perez,,Approved as-is
CL-0194,CON-0043,Indemnification,Mutual indemnification for third-party IP claims,true,None,2,Reviewed,Linda Kowalski,2024-07-03,Clause meets standard requirements
CL-0195,CON-0043,Dispute Resolution,"Mediation first, then arbitration if unresolved",true,None,2,Reviewed,Patricia Nguyen,2024-04-05,No action needed
CL-0196,CON-0043,SLA/Performance,Quarterly performance reviews with scorecards,true,None,3,Reviewed,Linda Kowalski,2024-10-10,Clause meets standard requirements
CL-0197,CON-0043,IP Ownership,Joint IP ownership for co-developed materials,true,Minor,3,Pending,Patricia Nguyen,,Flag for review at renewal
CL-0198,CON-0043,Payment Terms,Net 90 terms — exceeds standard 60-day maximum,false,Minor,5,Pending,Robert Ashford,,Recommend minor language update at next renewal
CL-0199,CON-0043,Audit Rights,Unlimited audit access during contract term,true,Minor,3,Pending,Linda Kowalski,,Acceptable with noted deviation
CL-0200,CON-0044,Insurance Requirements,Insurance coverage below required $1M threshold,false,Major,6,Flagged,Robert Ashford,,Escalate to legal for amendment
CL-0201,CON-0044,Dispute Resolution,"Mediation first, then arbitration if unresolved",true,None,2,Reviewed,Linda Kowalski,2024-08-08,Approved as-is
